user_id,Класс,Регион,Задача 1,Задача 2,Задача 3,Задача 4,Задача 5,Сумма,Статус
442,7,Новосибирская,7,7,7,7,7,35,Победитель
469,7,Челябинская,7,7,7,7,7,35,Победитель
679,7,Новосибирская,7,7,7,7,7,35,Победитель
4605,7,Курганская,7,7,7,7,7,35,Победитель
14188,7,Омская,7,7,7,7,7,35,Победитель
14606,7,Свердловская,7,7,7,7,7,35,Победитель
22250,7,Новосибирская,7,7,7,7,7,35,Победитель
22552,7,Курганская,7,7,7,7,7,35,Победитель
29684,7,Новосибирская,7,7,7,7,7,35,Победитель
29848,7,Красноярский,7,7,7,7,7,35,Победитель
30646,7,Свердловская,7,7,7,7,7,35,Победитель
30815,7,Новосибирская,7,7,7,7,7,35,Победитель
32712,7,Новосибирская,7,6,7,7,7,34,Победитель
3854,7,Республика Казахстан,7,7,7,4,7,32,Победитель
11237,7,Новосибирская,7,7,7,7,4,32,Победитель
3205,7,Новосибирская,7,7,7,3,7,31,Победитель
3494,7,Новосибирская,7,7,7,3,7,31,Победитель
7724,7,Новосибирская,7,7,7,3,7,31,Победитель
10725,7,Кемеровская область - Кузбасс,7,7,7,3,7,31,Победитель
14616,7,Республика Казахстан,7,7,7,3,7,31,Победитель
28750,7,Тюменская,7,7,7,3,7,31,Победитель
29880,7,Свердловская,7,7,7,3,7,31,Победитель
31364,7,Курганская,7,7,7,3,7,31,Победитель
31567,7,Челябинская,7,7,7,3,7,31,Победитель
33003,7,Ханты-Мансийский Автономный округ - Югра,7,7,7,3,7,31,Победитель
1025,7,Новосибирская,7,6,7,3,7,30,Победитель
6404,7,Республика Казахстан,7,7,7,7,2,30,Победитель
29393,7,Новосибирская,7,7,7,7,2,30,Победитель
11248,7,Республика Казахстан,7,7,7,7,1,29,Призёр
29148,7,Алтайский,7,7,7,7,1,29,Призёр
2231,7,Новосибирская,7,7,7,7,0,28,Призёр
5855,7,Свердловская,7,7,7,7,0,28,Призёр
9240,7,Иркутская,7,7,7,7,0,28,Призёр
12563,7,Новосибирская,7,7,7,7,-,28,Призёр
16477,7,Омская,7,1,7,6,7,28,Призёр
20784,7,Омская,7,7,7,7,-,28,Призёр
23265,7,Новосибирская,7,7,7,7,-,28,Призёр
24064,7,Курганская,7,7,7,7,-,28,Призёр
27849,7,Курганская,7,7,7,7,0,28,Призёр
29174,7,Курганская,7,7,7,7,-,28,Призёр
30260,7,Приморский,7,7,7,7,-,28,Призёр
32228,7,Новосибирская,7,7,7,7,-,28,Призёр
32541,7,Новосибирская,7,7,7,7,-,28,Призёр
31079,7,Иркутская,7,3,7,3,7,27,Призёр
31412,7,Иркутская,7,7,7,6,-,27,Призёр
661,7,Новосибирская,7,7,7,5,-,26,Призёр
440,7,Республика Казахстан,7,7,7,2,2,25,Призёр
3515,7,Омская,7,1,7,3,7,25,Призёр
6253,7,Новосибирская,7,7,7,3,1,25,Призёр
17680,7,Омская,7,7,7,3,1,25,Призёр
18193,7,Новосибирская,7,7,7,4,-,25,Призёр
21868,7,Алтайский,7,7,7,4,-,25,Призёр
21920,7,Курганская,7,7,7,3,1,25,Призёр
27455,7,Бурятия,7,7,7,3,1,25,Призёр
28812,7,Республика Казахстан,7,7,7,3,1,25,Призёр
29251,7,Новосибирская,7,7,7,3,1,25,Призёр
29566,7,Бурятия,7,7,7,4,0,25,Призёр
30385,7,Бурятия,7,7,7,4,0,25,Призёр
1066,7,Бурятия,7,7,7,3,-,24,Призёр
2795,7,Челябинская,7,7,7,3,-,24,Призёр
5716,7,Саха /Якутия/,7,7,7,3,0,24,Призёр
7213,7,Свердловская,7,7,7,3,-,24,Призёр
11166,7,Саха /Якутия/,7,7,7,3,0,24,Призёр
21596,7,Челябинская,7,7,7,3,0,24,Призёр
22094,7,Алтайский,7,7,7,3,-,24,Призёр
24754,7,Новосибирская,7,7,7,3,-,24,Призёр
27132,7,Новосибирская,7,7,7,3,0,24,Призёр
27161,7,Новосибирская,7,7,7,2,1,24,Призёр
27435,7,Курганская,7,7,7,3,-,24,Призёр
28421,7,Новосибирская,7,7,7,3,0,24,Призёр
28712,7,Курганская,7,7,7,3,0,24,Призёр
28990,7,Томская,7,7,7,3,-,24,Призёр
29941,7,Новосибирская,7,7,3,7,-,24,Призёр
30408,7,Бурятия,7,7,7,2,1,24,Призёр
32266,7,Новосибирская,7,7,7,3,-,24,Призёр
6236,7,Бурятия,7,7,7,2,0,23,Призёр
10112,7,Новосибирская,7,7,7,2,0,23,Призёр
16025,7,Республика Казахстан,7,7,7,2,0,23,Призёр
21980,7,Курганская,7,7,7,2,-,23,Призёр
27086,7,Новосибирская,7,7,7,1,1,23,Призёр
31472,7,Кемеровская область - Кузбасс,7,7,7,2,-,23,Призёр
580,7,Новосибирская,7,7,7,1,0,22,
5507,7,Новосибирская,7,7,7,0,1,22,
7630,7,Свердловская,7,7,7,-,1,22,
22277,7,Курганская,7,0,7,7,1,22,
29569,7,Алтайский,7,7,7,1,0,22,
30390,7,Бурятия,7,7,7,-,1,22,
763,7,Кемеровская область - Кузбасс,7,0,7,7,-,21,
4764,7,Новосибирская,7,7,7,-,-,21,
7705,7,Новосибирская,7,7,7,0,0,21,
8747,7,Красноярский,7,7,7,-,-,21,
11544,7,Республика Казахстан,7,7,7,-,-,21,
11878,7,Свердловская,7,0,7,0,7,21,
12045,7,Свердловская,7,7,7,0,-,21,
20073,7,Новосибирская,7,6,7,1,0,21,
21613,7,Тюменская,0,7,1,6,7,21,
21846,7,Саха /Якутия/,7,7,7,-,-,21,
22626,7,Новосибирская,7,7,7,0,0,21,
26964,7,Новосибирская,7,7,7,0,-,21,
28506,7,Бурятия,7,7,7,-,0,21,
29719,7,Тюменская,7,7,7,0,0,21,
29841,7,Красноярский,7,7,6,1,0,21,
30169,7,Республика Казахстан,7,7,7,0,0,21,
31675,7,Забайкальский,7,7,7,0,-,21,
32115,7,Новосибирская,7,7,7,0,0,21
32800,7,Новосибирская,7,7,7,-,-,21
21740,7,Алтайский,7,1,7,3,2,20
28983,7,Бурятия,7,6,7,0,-,20
29515,7,Тюменская,7,7,3,3,-,20
29699,7,Бурятия,7,6,7,-,0,20
17135,7,Новосибирская,7,0,7,4,1,19
5860,7,Республика Казахстан,7,1,7,3,0,18
29320,7,Бурятия,7,7,1,3,0,18
31667,7,Новосибирская,7,0,7,3,1,18
10777,7,Иркутская,7,0,7,3,-,17
25252,7,Кемеровская область - Кузбасс,7,0,7,3,0,17
26023,7,Тюменская,7,7,-,3,-,17
27407,7,Бурятия,7,0,7,3,0,17
28513,7,Бурятия,7,0,7,3,0,17
28549,7,Бурятия,7,0,7,3,0,17
30048,7,Иркутская,7,0,7,3,-,17
31524,7,Новосибирская,0,7,7,3,-,17
32192,7,Новосибирская,7,7,1,2,-,17
11019,7,Республика Казахстан,7,0,7,2,-,16
3521,7,Новосибирская,7,7,1,0,0,15
6625,7,Хабаровский,7,0,7,1,0,15
8271,7,Бурятия,7,7,1,0,0,15
9868,7,Тюменская,7,1,7,-,-,15
27398,7,Бурятия,7,7,1,0,0,15
28520,7,Бурятия,7,7,1,-,0,15
28553,7,Бурятия,7,7,1,-,-,15
32159,7,Курганская,7,1,7,-,0,15
3068,7,Омская,7,0,7,0,0,14
3101,7,Омская,7,0,7,-,-,14
8290,7,Тюменская,7,-,7,-,-,14
9713,7,Тюменская,7,-,7,-,-,14
15169,7,Омская,7,0,7,0,0,14
28659,7,Бурятия,7,-,7,-,-,14
28850,7,Новосибирская,7,0,7,0,0,14
28873,7,Бурятия,7,0,7,0,-,14
29113,7,Бурятия,7,7,-,-,-,14
29184,7,Тюменская,7,-,7,0,0,14
29281,7,Бурятия,7,0,7,-,-,14
29526,7,Томская,7,0,7,0,-,14
30012,7,Бурятия,7,0,7,-,0,14
31131,7,Челябинская,7,7,-,-,-,14
31135,7,Иркутская,7,-,7,-,-,14
31314,7,Ханты-Мансийский Автономный округ - Югра,7,0,7,0,0,14
32434,7,Тюменская,7,0,7,-,-,14
26763,7,Новосибирская,7,6,-,0,0,13
30565,7,Хабаровский,7,0,3,3,0,13
32814,7,Новосибирская,7,0,3,-,-,10
3868,7,Бурятия,7,0,1,1,-,9
7765,7,Новосибирская,7,-,1,1,-,9
13916,7,Алтайский,7,0,1,1,-,9
32937,7,Новосибирская,7,0,0,2,0,9
28149,7,Бурятия,7,0,1,0,0,8
28340,7,Бурятия,7,-,1,-,-,8
29089,7,Тюменская,7,-,1,-,-,8
29106,7,Бурятия,7,0,1,-,-,8
29445,7,Бурятия,7,0,1,0,0,8
29451,7,Новосибирская,7,0,1,0,0,8
29683,7,Иркутская,7,0,1,0,0,8
30453,7,Бурятия,7,0,1,-,-,8
4196,7,Омская,7,-,-,-,-,7
28964,7,Бурятия,7,-,-,0,0,7
29021,7,Бурятия,7,0,-,-,-,7
29429,7,Бурятия,7,-,-,-,-,7
29949,7,Бурятия,7,0,-,-,-,7
29685,7,Бурятия,-,0,1,1,-,2
29889,7,Новосибирская,0,0,1,0,0,1
665,7,Бурятия,-,-,-,-,-,0
943,7,Новосибирская,-,-,-,-,-,0
1225,7,Бурятия,-,-,-,-,-,0
1334,7,Томская,-,-,-,-,-,0
2210,7,Новосибирская,-,-,-,-,-,0
2249,7,Новосибирская,-,-,-,-,-,0
2251,7,Новосибирская,-,-,-,-,-,0
2275,7,Тюменская,-,-,-,-,-,0
3568,7,Азербайджанская республика,-,-,-,-,-,0
3665,7,Камчатский,-,-,-,-,-,0
3768,7,Бурятия,-,-,-,-,-,0
3896,7,Челябинская,-,-,-,-,-,0
4608,7,Новосибирская,-,-,-,-,-,0
5170,7,Республика Казахстан,-,-,-,-,-,0
5413,7,Республика Казахстан,-,-,-,-,-,0
5478,7,Новосибирская,-,-,-,-,-,0
5509,7,Республика Казахстан,-,-,-,-,-,0
5646,7,Республика Казахстан,-,-,-,-,-,0
5698,7,Республика Казахстан,-,-,-,-,-,0
5814,7,Республика Казахстан,-,-,-,-,-,0
5830,7,Республика Казахстан,-,-,-,-,-,0
5869,7,Республика Казахстан,-,-,-,-,-,0
6055,7,Челябинская,-,-,-,-,-,0
6073,7,Республика Казахстан,-,-,-,-,-,0
6356,7,Тюменская,-,-,-,-,-,0
6472,7,Свердловская,-,-,-,-,-,0
6582,7,Иркутская,-,-,-,-,-,0
6669,7,Тюменская,-,-,-,-,-,0
6714,7,Саха /Якутия/,-,-,-,-,-,0
6819,7,Свердловская,-,-,-,-,-,0
7154,7,Свердловская,-,-,-,-,-,0
8033,7,Новосибирская,-,-,-,-,-,0
8187,7,Новосибирская,-,-,-,-,-,0
8263,7,Новосибирская,-,-,-,-,-,0
8635,7,Республика Казахстан,-,-,-,-,-,0
8787,7,Новосибирская,-,-,-,-,-,0
9121,7,Саха /Якутия/,-,-,-,-,-,0
9147,7,Новосибирская,-,-,-,-,-,0
9199,7,Саха /Якутия/,-,-,-,-,-,0
9223,7,Иркутская,-,-,-,-,-,0
9445,7,Новосибирская,-,-,-,-,-,0
9566,7,Тюменская,-,-,-,-,-,0
10542,7,Новосибирская,-,-,-,-,-,0
10649,7,Саха /Якутия/,-,-,-,-,-,0
10664,7,Саха /Якутия/,-,-,-,-,-,0
10732,7,Тюменская,-,-,-,-,-,0
10758,7,Новосибирская,-,-,-,-,-,0
11055,7,Ямало-Ненецкий,-,-,-,-,-,0
11161,7,Камчатский,-,-,-,-,-,0
12032,7,Челябинская,-,-,-,-,-,0
12146,7,Челябинская,-,-,-,-,-,0
12358,7,Новосибирская,-,-,-,-,-,0
12622,7,Новосибирская,-,-,-,-,-,0
12924,7,Алтайский,-,-,-,-,-,0
13014,7,Республика Казахстан,-,-,-,-,-,0
13104,7,Новосибирская,-,-,-,-,-,0
13494,7,Тюменская,-,-,-,-,-,0
13683,7,Новосибирская,-,-,-,-,-,0
13796,7,Саха /Якутия/,-,-,-,-,-,0
13842,7,Республика Казахстан,-,-,-,-,-,0
13933,7,Республика Казахстан,-,-,-,-,-,0
14111,7,Тюменская,-,-,-,-,-,0
14486,7,Сахалинская,-,-,-,-,-,0
15055,7,Тюменская,-,-,-,-,-,0
16453,7,Новосибирская,-,-,-,-,-,0
16757,7,Алтайский,-,-,-,-,-,0
16759,7,Курганская,-,-,-,-,-,0
16865,7,Иркутская,-,-,-,-,-,0
16879,7,Республика Казахстан,-,-,-,-,-,0
17396,7,Новосибирская,-,-,-,-,-,0
18172,7,Челябинская,-,-,-,-,-,0
18194,7,Новосибирская,-,-,-,-,-,0
18386,7,Алтайский,-,-,-,-,-,0
18543,7,Новосибирская,-,-,-,-,-,0
19258,7,Красноярский,-,-,-,-,-,0
19820,7,Новосибирская,-,-,-,-,-,0
19913,7,Новосибирская,-,-,-,-,-,0
20421,7,Новосибирская,-,-,-,-,-,0
20426,7,Новосибирская,-,-,-,-,-,0
20529,7,Алтайский,-,-,-,-,-,0
20538,7,Омская,-,-,-,-,-,0
20769,7,Новосибирская,-,-,-,-,-,0
21175,7,Новосибирская,-,-,-,-,-,0
21322,7,Ханты-Мансийский Автономный округ - Югра,-,-,-,-,-,0
21363,7,Новосибирская,-,-,-,-,-,0
21573,7,Новосибирская,-,-,-,-,-,0
21818,7,Новосибирская,-,-,-,-,-,0
22058,7,Приморский,-,-,-,-,-,0
22195,7,Республика Казахстан,-,-,-,-,-,0
22248,7,Хабаровский,-,-,-,-,-,0
22281,7,Новосибирская,-,-,-,-,-,0
22288,7,Челябинская,-,-,-,-,-,0
22314,7,Новосибирская,-,-,-,-,-,0
22387,7,Омская,-,-,-,-,-,0
22579,7,Бурятия,-,-,-,-,-,0
22835,7,Тюменская,-,-,-,-,-,0
23964,7,Иркутская,-,-,-,-,-,0
24301,7,Свердловская,-,-,-,-,-,0
24325,7,Томская,-,-,-,-,-,0
24531,7,Иркутская,-,-,-,-,-,0
25057,7,Республика Казахстан,-,-,-,-,-,0
25223,7,Республика Казахстан,-,-,-,-,-,0
25375,7,Новосибирская,-,-,-,-,-,0
25529,7,Новосибирская,-,-,-,-,-,0
25752,7,Республика Казахстан,-,-,-,-,-,0
25852,7,Тюменская,-,-,-,-,-,0
26075,7,Алтайский,-,-,-,-,-,0
26268,7,Алтайский,-,-,-,-,-,0
26900,7,Новосибирская,-,-,-,-,-,0
27055,7,Курганская,-,-,-,-,-,0
27193,7,Свердловская,-,-,-,-,-,0
27375,7,Бурятия,-,-,-,-,-,0
27459,7,Омская,-,-,-,-,-,0
28143,7,Алтайский,-,-,-,-,-,0
28486,7,Бурятия,-,-,-,-,-,0
28536,7,Курганская,-,-,-,-,-,0
28603,7,Бурятия,-,-,-,-,-,0
28666,7,Республика Казахстан,-,-,-,-,-,0
28672,7,Бурятия,-,-,-,-,-,0
28704,7,Новосибирская,-,-,-,-,-,0
28748,7,Новосибирская,-,-,-,-,-,0
28823,7,Новосибирская,-,-,-,-,-,0
28881,7,Бурятия,-,-,-,-,-,0
28978,7,Алтайский,-,-,-,-,-,0
28998,7,Новосибирская,-,-,-,-,-,0
29031,7,Новосибирская,-,-,-,-,-,0
29041,7,Алтайский,-,-,-,-,-,0
29232,7,Красноярский,-,-,-,-,-,0
29292,7,Бурятия,-,-,-,-,-,0
29298,7,Бурятия,-,-,-,-,-,0
29350,7,Тюменская,-,-,-,-,-,0
29572,7,Алтайский,-,-,-,-,-,0
29694,7,Иркутская,-,-,-,-,-,0
29711,7,Бурятия,-,-,-,-,-,0
29814,7,Челябинская,-,-,-,-,-,0
30145,7,Томская,-,-,-,-,-,0
30154,7,Томская,-,-,-,-,-,0
30159,7,Омская,-,-,-,-,-,0
30191,7,Красноярский,-,-,-,-,-,0
30264,7,Курганская,-,-,-,-,-,0
30296,7,Новосибирская,-,-,-,-,-,0
30299,7,Приморский,-,-,-,-,-,0
30312,7,Приморский,-,-,-,-,-,0
30323,7,Приморский,-,-,-,-,-,0,
30631,7,Новосибирская,-,-,-,-,-,0,
30634,7,Новосибирская,-,-,-,-,-,0,
30699,7,Новосибирская,-,-,-,-,-,0,
31020,7,Новосибирская,-,-,-,-,-,0,
31094,7,Челябинская,-,-,-,-,-,0,
31147,7,Новосибирская,-,-,-,-,-,0,
31317,7,Челябинская,-,-,-,-,-,0,
31325,7,Новосибирская,-,-,-,-,-,0,
31615,7,Новосибирская,-,-,-,-,-,0,
31737,7,Красноярский,-,-,-,-,-,0,
31739,7,Новосибирская,-,-,-,-,-,0,
32143,7,Свердловская,-,-,-,-,-,0,
32240,7,Бурятия,-,-,-,-,-,0,
32907,7,Новосибирская,-,-,-,-,-,0,
1656,8,Тюменская,7,7,7,7,7,35,Победитель
5098,8,Омская,7,7,7,7,7,35,Победитель
21100,8,Бурятия,7,7,7,7,5,33,Победитель
31972,8,Красноярский,7,7,7,7,5,33,Победитель
18795,8,Новосибирская,7,7,7,7,2,30,Победитель
31,8,Кемеровская область - Кузбасс,7,7,7,7,0,28,Призёр
149,8,Иркутская,7,7,7,7,0,28,Призёр
814,8,Курганская,7,7,7,7,-,28,Призёр
2120,8,Приморский,7,7,7,7,-,28,Призёр
4507,8,Новосибирская,7,7,7,7,-,28,Призёр
4998,8,Новосибирская,7,7,7,7,-,28,Призёр
5004,8,Ханты-Мансийский Автономный округ - Югра,7,7,7,7,-,28,Призёр
6039,8,Новосибирская,7,7,7,7,-,28,Призёр
6263,8,Тюменская,7,7,7,7,0,28,Призёр
7204,8,Тюменская,7,7,7,7,-,28,Призёр
7713,8,Новосибирская,7,7,7,7,0,28,Призёр
7939,8,Новосибирская,7,7,7,7,-,28,Призёр
8041,8,Омская,7,7,7,7,-,28,Призёр
8049,8,Новосибирская,7,7,7,7,0,28,Призёр
8377,8,Новосибирская,7,7,7,7,0,28,Призёр
9520,8,Новосибирская,7,7,7,7,-,28,Призёр
10437,8,Новосибирская,7,7,7,7,-,28,Призёр
11223,8,Томская,7,7,7,7,-,28,Призёр
11546,8,Бурятия,7,7,7,7,-,28,Призёр
12393,8,Бурятия,7,7,7,7,-,28,Призёр
12573,8,Тюменская,7,7,7,7,-,28,Призёр
12584,8,Новосибирская,7,7,7,7,0,28,Призёр
13221,8,Бурятия,7,7,7,7,-,28,Призёр
13686,8,Бурятия,7,7,7,7,-,28,Призёр
13920,8,Иркутская,7,7,7,7,0,28,Призёр
14328,8,Бурятия,7,7,7,7,-,28,Призёр
14395,8,Алтайский,7,7,7,7,0,28,Призёр
14653,8,Забайкальский,7,7,7,7,-,28,Призёр
16027,8,Новосибирская,7,7,7,7,0,28,Призёр
16705,8,Алтайский,7,7,7,7,0,28,Призёр
17757,8,Новосибирская,7,7,7,7,0,28,Призёр
17823,8,Бурятия,7,7,7,7,-,28,Призёр
19679,8,Новосибирская,7,7,7,7,0,28,Призёр
22150,8,Курганская,7,7,7,7,-,28,Призёр
22612,8,Курганская,7,7,7,7,-,28,Призёр
24000,8,Свердловская,7,7,7,7,-,28,Призёр
26710,8,Новосибирская,7,7,7,7,-,28,Призёр
28200,8,Свердловская,7,7,7,7,0,28,Призёр
29607,8,Тюменская,7,7,7,7,-,28,Призёр
29857,8,Ханты-Мансийский Автономный округ - Югра,7,7,7,7,0,28,Призёр
29907,8,Амурская,7,7,7,7,0,28,Призёр
29967,8,Новосибирская,7,7,7,7,-,28,Призёр
30061,8,Кемеровская область - Кузбасс,7,7,7,7,-,28,Призёр
30491,8,Новосибирская,7,7,7,7,0,28,Призёр
30704,8,Еврейская,7,7,7,7,-,28,Призёр
31381,8,Свердловская,7,7,7,7,-,28,Призёр
31505,8,Ханты-Мансийский Автономный округ - Югра,7,7,7,7,-,28,Призёр
31576,8,Новосибирская,7,7,7,7,-,28,Призёр
32031,8,Свердловская,7,7,7,7,-,28,Призёр
32252,8,Кемеровская область - Кузбасс,7,7,7,7,0,28,Призёр
32275,8,Республика Казахстан,7,7,7,7,-,28,Призёр
32812,8,Свердловская,7,7,7,7,-,28,Призёр
32899,8,Курганская,7,7,7,7,0,28,Призёр
15174,8,Новосибирская,7,7,6,7,0,27,Призёр
23511,8,Красноярский,7,7,7,6,-,27,Призёр
7295,8,Курганская,7,7,5,7,-,26,Призёр
10676,8,Алтайский,7,7,5,7,0,26,Призёр
12365,8,Челябинская,7,7,4,7,-,25,Призёр
12490,8,Новосибирская,7,7,4,7,0,25,Призёр
31652,8,Кемеровская область - Кузбасс,7,7,4,7,0,25,Призёр
32166,8,Кемеровская область - Кузбасс,7,7,4,7,0,25,Призёр
30841,8,Омская,7,7,3,7,0,24,Призёр
10076,8,Новосибирская,7,7,2,7,0,23,Призёр
32673,8,Хабаровский,7,7,2,7,0,23,Призёр
2222,8,Новосибирская,7,7,1,7,0,22,
2842,8,Новосибирская,7,7,1,7,0,22,
9565,8,Алтайский,7,7,1,7,0,22,
19962,8,Новосибирская,7,7,1,7,0,22,
23316,8,Новосибирская,7,1,7,7,-,22,
30384,8,Саха /Якутия/,7,7,1,7,0,22,
31048,8,Кемеровская область - Кузбасс,7,7,1,7,0,22,
31179,8,Новосибирская,7,1,7,7,-,22,
568,8,Новосибирская,7,7,0,7,0,21,
2437,8,Ханты-Мансийский Автономный округ - Югра,7,0,7,7,0,21,
2781,8,Новосибирская,7,7,7,-,-,21,
